pickapeppa.sauce,4
jerk.seasoning,9
jamaican.jerk.spice,5
ackee,9
callaloo,9
jamaican.rum,5
codfish,3
cho.cho,3
jamaican.pumpkin,3
jerk.sauce,6
soursop,2
vegetable.fats,1
instant.chicken.bouillon,1
any,2
jerk.paste,2
taro.leaf,1
jamaican.curry.powder,2
jamaican.allspice,4
veggie.patties,1
frozen.fruit,1
cherry.syrup,1
caribbean.jerk.seasoning,4
jamaican.jerk.rub,1
cara.cara.orange,1
jamaican.jerk.marinade,1
dasheen,1
bagel.chips,1
jamaican.jerk,1
amber.rum,1
breadfruit,2
guava.paste,1
passover.wine,1
jerk.seasoning.mix,1
low.fat.coleslaw.dressing,1
jerk.rub.seasoning,1
sazon.goya.with.coriander.and.annatto,1
